question,answer,text
In which Australian state is Cape York Peninsula?,QUEENSLAND,In which Australian state is Cape York Peninsula? QUEENSLAND
Which instrument did Glen Miller play?,Trombone,Which instrument did Glen Miller play? Trombone
"The steps for what ballroom dance are: Basic forward, Basic backward, Rock left turn, Forward progressive, and Promenade?",Foxtrot,"The steps for what ballroom dance are: Basic forward, Basic backward, Rock left turn, Forward progressive, and Promenade? Foxtrot"
Who sang the theme song to the film '9 to 5'?,Dolly PARTON,Who sang the theme song to the film '9 to 5'? Dolly PARTON
"In mythology, the Maenads {pronounced 'my-nads') were frenzied followers of which god or goddess?",Bacchus,"In mythology, the Maenads {pronounced 'my-nads') were frenzied followers of which god or goddess? Bacchus"
Peter Schreyer is a famous designer of what?,Automobiles,Peter Schreyer is a famous designer of what? Automobiles
What term is used by wine buffs to describe the aroma of wine,Bouquet,What term is used by wine buffs to describe the aroma of wine Bouquet
"Who joined the Eggheads team in 2008, having won Are You An Egghead?",Barry Simmons,"Who joined the Eggheads team in 2008, having won Are You An Egghead? Barry Simmons"
Who in Greek mythology was the cupbearer to the gods and Goddess of eternal youth and was later replaced by Ganymede?,Hebe,Who in Greek mythology was the cupbearer to the gods and Goddess of eternal youth and was later replaced by Ganymede? Hebe
Who resigned as Prime Minister of France in August 1976?,Jacques Chirac,Who resigned as Prime Minister of France in August 1976? Jacques Chirac
What country would you travel through in going from Honduras to Costa Rica?,Nicaragua,What country would you travel through in going from Honduras to Costa Rica? Nicaragua
What is the highest mountain in Austria?,Grossglockner,What is the highest mountain in Austria? Grossglockner
"Which American actress/singer, etc is the daughter of Maureen O'Sullivan?",Mia Farrow,"Which American actress/singer, etc is the daughter of Maureen O'Sullivan? Mia Farrow"
"When its big neighbor made its debut at the 1980 Winter Olympics in Lake Placid, this country was asked to use a different name. It refused and thus became the only country to boycott the Winter Olympics. What is the country in question?",Taiwan,"When its big neighbor made its debut at the 1980 Winter Olympics in Lake Placid, this country was asked to use a different name. It refused and thus became the only country to boycott the Winter Olympics. What is the country in question? Taiwan"
SE Which London Institution is based at 10 Paternoster Sq.?,STOCK EXCHANGE,SE Which London Institution is based at 10 Paternoster Sq.? STOCK EXCHANGE
What is the only US state which borders one other state only?,Maine,What is the only US state which borders one other state only? Maine
"""""""April is the cruellest month"""" is the opening line of which poem by T S Eliot?""",THE WASTELAND-,"""""""April is the cruellest month"""" is the opening line of which poem by T S Eliot?"" THE WASTELAND-"
Sherry was first associated with which country?,Spain,Sherry was first associated with which country? Spain
In 2014 Carl Crutchlow will ride what make of Moto GP bike?,Ducati,In 2014 Carl Crutchlow will ride what make of Moto GP bike? Ducati
Which tennis player won the 2011 Wimbledon Men’s Singles Championship?,Novak Djokovic,Which tennis player won the 2011 Wimbledon Men’s Singles Championship? Novak Djokovic
Which state has the longest coastline and 75% of the active volcanoes in the USA?,ALASKA,Which state has the longest coastline and 75% of the active volcanoes in the USA? ALASKA
Which author wrote a series of books about the private investigator 'Jemima Shore'?,ANTONIA FRASER,Which author wrote a series of books about the private investigator 'Jemima Shore'? ANTONIA FRASER
What was the title of the 1991 Channel 4 drama in which Robert Lindsay played 'Michael Murray' the militant Labour leader of a city council?,'G.B.H.',What was the title of the 1991 Channel 4 drama in which Robert Lindsay played 'Michael Murray' the militant Labour leader of a city council? 'G.B.H.'
What is the Celtic name for Edinburgh?,Dunedin,What is the Celtic name for Edinburgh? Dunedin
How many Nobel Prizes are awarded each year?,6,How many Nobel Prizes are awarded each year? 6
In which decade did the Jackson 5 sign to Motown?,1960s,In which decade did the Jackson 5 sign to Motown? 1960s
"Which group, prominent in the 1980’s, featured Johnny Marr on guitar, Andy Rourke on bass and Mike Joyce on drums?",The Smiths,"Which group, prominent in the 1980’s, featured Johnny Marr on guitar, Andy Rourke on bass and Mike Joyce on drums? The Smiths"
"In 1782, what was made the official bird of the USA?",Bald eagle,"In 1782, what was made the official bird of the USA? Bald eagle"
Who had a hit in 2012 with the song and video 'Gangnam Style'?,Psy,Who had a hit in 2012 with the song and video 'Gangnam Style'? Psy
What African country was founded by freed American slaves?,Liberia,What African country was founded by freed American slaves? Liberia
"""Translated as """"cluster of eight"""" and situated in the Pacific Ocean what name did the Ellice Islands adopt on gaining independence in 1978?""",TUVALU,"""Translated as """"cluster of eight"""" and situated in the Pacific Ocean what name did the Ellice Islands adopt on gaining independence in 1978?"" TUVALU"
What is the title of the song that Nick Berry took to No. 1 in 1986?,Every Loser Win's,What is the title of the song that Nick Berry took to No. 1 in 1986? Every Loser Win's
Which actor's roles include the 'Man from Atlantis' and Bobby Ewing in 'Dallas'?,PATRICK DUFFY,Which actor's roles include the 'Man from Atlantis' and Bobby Ewing in 'Dallas'? PATRICK DUFFY
"Which religious t.v. programme, first broadcast in 1969, was created and presented by Jess Yates?",'STARS ON SUNDAY',"Which religious t.v. programme, first broadcast in 1969, was created and presented by Jess Yates? 'STARS ON SUNDAY'"
Which BBC crime drama stars Idris Elba in the title role?,LUTHER,Which BBC crime drama stars Idris Elba in the title role? LUTHER
"August 6, 1945 saw the US bomber Enola Gay drop the first atomic bomb on what Japanese city?",Hiroshima,"August 6, 1945 saw the US bomber Enola Gay drop the first atomic bomb on what Japanese city? Hiroshima"
Who was the President of A.C. Milan Football Club from 1986 to 2004?,SILVIO BERLUSCONI,Who was the President of A.C. Milan Football Club from 1986 to 2004? SILVIO BERLUSCONI
"""Which American record label, launched in 1901 by Emile Berliner and Eldridge R JohnsonWas favoured by the band The Sweet, including their hits """"Blockbuster"""", """"Ballroom Blitz"""", """"Wig Wam Bam"""" and """"Hell Raiser"""" ?""",RCA,"""Which American record label, launched in 1901 by Emile Berliner and Eldridge R JohnsonWas favoured by the band The Sweet, including their hits """"Blockbuster"""", """"Ballroom Blitz"""", """"Wig Wam Bam"""" and """"Hell Raiser"""" ?"" RCA"
Mussorgsky’s composition ‘Night on a bare mountain’ depicts a Witches Sabbath on the eve of which saints day?,Saint John,Mussorgsky’s composition ‘Night on a bare mountain’ depicts a Witches Sabbath on the eve of which saints day? Saint John
"""Which London station does the """"Eurostar"""" leave from?""",St Pancras,"""Which London station does the """"Eurostar"""" leave from?"" St Pancras"
"""In what country did the movie """"Mad Max"""" take place?""",Australia,"""In what country did the movie """"Mad Max"""" take place?"" Australia"
"In Greek mythology, Thanatos represented Death who was his twin brother who represented Sleep?",Hypnos,"In Greek mythology, Thanatos represented Death who was his twin brother who represented Sleep? Hypnos"
"Princess Estelle, Duchess of Östergötland, granddaughter to King Carl XVI Gustaf, became 2nd in line to what nation's throne when born in 2012?",Sweden,"Princess Estelle, Duchess of Östergötland, granddaughter to King Carl XVI Gustaf, became 2nd in line to what nation's throne when born in 2012? Sweden"
What colour is the Wirral Line on the Merseyrail network map?,Green,What colour is the Wirral Line on the Merseyrail network map? Green
"The fifth planet in the solar system, which planet is the largest?",Jupiter,"The fifth planet in the solar system, which planet is the largest? Jupiter"
The marabou is what type of bird?,Stork,The marabou is what type of bird? Stork
Which Asian country is part of the phonetic alphabet?,INDIA,Which Asian country is part of the phonetic alphabet? INDIA
What was the name of the river by which Julius Caesar stood when he reputedly said ‘The die has been cast’?,The Rubicon River,What was the name of the river by which Julius Caesar stood when he reputedly said ‘The die has been cast’? The Rubicon River
"Which Jackson has starred in Star Wars, Pulp Fiction, and Snakes On A Plane?",Samuel L Jackson,"Which Jackson has starred in Star Wars, Pulp Fiction, and Snakes On A Plane? Samuel L Jackson"
Which former Prime Minister is a member of the Order of the Garter?,JOHN MAJOR,Which former Prime Minister is a member of the Order of the Garter? JOHN MAJOR
In the Harry Potter series of books what are the names of Molly Weasley’s brothers who were killed by Death Eaters in the First Wizarding War?,Gideon and Fabian Prewett,In the Harry Potter series of books what are the names of Molly Weasley’s brothers who were killed by Death Eaters in the First Wizarding War? Gideon and Fabian Prewett
"""Who was English history's """"Merry Monarch""""?""",CHARLES II,"""Who was English history's """"Merry Monarch""""?"" CHARLES II"
Which Cheshire town has the motto 'Sal est Vita' (salt is life) on its coat of arms?,Northwich,Which Cheshire town has the motto 'Sal est Vita' (salt is life) on its coat of arms? Northwich
In what modern-day country did the Anglo-Zulu war take place?,South Africa,In what modern-day country did the Anglo-Zulu war take place? South Africa
Which playing card is known as the Curse of Scotland?,Nine of Diamonds,Which playing card is known as the Curse of Scotland? Nine of Diamonds
Which country has had the most wins in the Eurovision Song Contest?,Ireland,Which country has had the most wins in the Eurovision Song Contest? Ireland
Which future king landed at Torbay in 1688?,William III,Which future king landed at Torbay in 1688? William III
"A road system running down the west coast of the Americas, apart from a short gap across the south part of Central America, from Prudhoe Bay, Alaska, to Ushuaia, Argentina, is called what?",The Pan-American Highway,"A road system running down the west coast of the Americas, apart from a short gap across the south part of Central America, from Prudhoe Bay, Alaska, to Ushuaia, Argentina, is called what? The Pan-American Highway"
What is the capital of the Australian state of Tasmania?,Hobart,What is the capital of the Australian state of Tasmania? Hobart
The landmark 1960s films I Am Curious (Yellow) and I Am Curious (Blue) were named after the colors of the flag of which country?,Sweden,The landmark 1960s films I Am Curious (Yellow) and I Am Curious (Blue) were named after the colors of the flag of which country? Sweden
"""Which fellow rocker, whose biggest hit was """"Be-Bop-A-Lula"""", survived the car crash which killed Eddie Cochrane in 1960?""",Gene Vincent,"""Which fellow rocker, whose biggest hit was """"Be-Bop-A-Lula"""", survived the car crash which killed Eddie Cochrane in 1960?"" Gene Vincent"
Linseed Oil is generated from which plant?,Flax,Linseed Oil is generated from which plant? Flax
Which army rank does actor Windsor Davies play in the UK television series ‘It Ain’t Half Hot Mum’?,Battery Sergeant Major,Which army rank does actor Windsor Davies play in the UK television series ‘It Ain’t Half Hot Mum’? Battery Sergeant Major
What is used to flavour the Kriek beer from Belgium?,Cherries,What is used to flavour the Kriek beer from Belgium? Cherries
"The countries of Denmark, Estonia, Finland, Germany, Latvia, Lithuania, Poland, Russia, and Sweden all share a border with what large body of water?",Baltic Sea,"The countries of Denmark, Estonia, Finland, Germany, Latvia, Lithuania, Poland, Russia, and Sweden all share a border with what large body of water? Baltic Sea"
Who was the first person to cross the English Channel by aeroplane?,Louis Bleriot,Who was the first person to cross the English Channel by aeroplane? Louis Bleriot
"In terms of the stock market, what is the opposite of a bear?",a Bull,"In terms of the stock market, what is the opposite of a bear? a Bull"
In our solar system which is the largest planet?,JUPITER,In our solar system which is the largest planet? JUPITER
Which hormone controls the female reproductive cycle?,Oestrogen,Which hormone controls the female reproductive cycle? Oestrogen
"Which railway, covering 4,607 miles from Chelyabinsk to Vladivostok, was completed in July 1904?",Trans-Siberian,"Which railway, covering 4,607 miles from Chelyabinsk to Vladivostok, was completed in July 1904? Trans-Siberian"
"""Which 19th century Austrian composer is famous for his waltzes such as """"The Blue Danube"""" and """"Tales of the Vienna Woods"""", and the operetta """"Die Fledermaus""""?""",Johann Strauss,"""Which 19th century Austrian composer is famous for his waltzes such as """"The Blue Danube"""" and """"Tales of the Vienna Woods"""", and the operetta """"Die Fledermaus""""?"" Johann Strauss"
Which English brewery produces a beer called 'Old Peculiar'?,THEAKSTON'S,Which English brewery produces a beer called 'Old Peculiar'? THEAKSTON'S
Where is the sinoatrial node?,Heart,Where is the sinoatrial node? Heart
Red Grant is the name of the villain in which James Bond film?,From Russia With Love,Red Grant is the name of the villain in which James Bond film? From Russia With Love
"Stella Rimington was the first female Director General of MI5, but who was the 2nd woman to head MI5 from 2002 until 2007?",Dame Eliza Manningham-Buller,"Stella Rimington was the first female Director General of MI5, but who was the 2nd woman to head MI5 from 2002 until 2007? Dame Eliza Manningham-Buller"
What did American hero Davy Crockett call his musket?,Old Betsy,What did American hero Davy Crockett call his musket? Old Betsy
"""Which Roman emperor's last words were reputedly """"What an artist the world is losing in me""""?""",Nero,"""Which Roman emperor's last words were reputedly """"What an artist the world is losing in me""""?"" Nero"
Which important person’s arrival at events is announced by playing Hail to the Chief?,President of the USA,Which important person’s arrival at events is announced by playing Hail to the Chief? President of the USA
"Which famous bay in Sydney, Australia was the site of a landing by Captain James Cook and sparked Britian's interest in Australia?",Botany Bay,"Which famous bay in Sydney, Australia was the site of a landing by Captain James Cook and sparked Britian's interest in Australia? Botany Bay"
"In the books by Sue Townsend, Adrian Mole was supposedly born in which English county?",Leicestershire,"In the books by Sue Townsend, Adrian Mole was supposedly born in which English county? Leicestershire"
What term refers to an economy with high inflation and low growth?,Stagflation,What term refers to an economy with high inflation and low growth? Stagflation
Which English king was known as 'Lackland'?,KING JOHN,Which English king was known as 'Lackland'? KING JOHN
Which King of England defeated the French at the Battle of Agincourt?,Henry the Fifth,Which King of England defeated the French at the Battle of Agincourt? Henry the Fifth
The German surname Müller refers to what occupation?,Miller,The German surname Müller refers to what occupation? Miller
Which English king was born in Le Mans in 1133?,HENRY II,Which English king was born in Le Mans in 1133? HENRY II
What was the title of Britney Spears' second album (and the single that was released from it)?,Oops!...  I Did It Again,What was the title of Britney Spears' second album (and the single that was released from it)? Oops!...  I Did It Again
"""Upon seeing which stunning South American geographic feature did Eleanor Roosevelt reportedly say """"Poor Niagara""""?""",Iguazu Falls,"""Upon seeing which stunning South American geographic feature did Eleanor Roosevelt reportedly say """"Poor Niagara""""?"" Iguazu Falls"
Which row on a typewriter contains the most vowels,The top row,Which row on a typewriter contains the most vowels The top row
"Fougasse, associated with Provence, is what type of food?",Bread,"Fougasse, associated with Provence, is what type of food? Bread"
"In the Bible, who was the brother of Simon Peter?",Andrew,"In the Bible, who was the brother of Simon Peter? Andrew"
What was the pen name of Charles Lutwidge Dodgson?,Lewis Carroll,What was the pen name of Charles Lutwidge Dodgson? Lewis Carroll
"""Who popularized the """"moonwalk"""" dance?""",Michael Jackson,"""Who popularized the """"moonwalk"""" dance?"" Michael Jackson"
Which group had a number one hit for two weeks in 1961 with 'Blue Moon'?,'THE MARCELS',Which group had a number one hit for two weeks in 1961 with 'Blue Moon'? 'THE MARCELS'
What colour medal did Amir Khan win in the lightweight boxing tournament at the 2004 Olympics?,Silver,What colour medal did Amir Khan win in the lightweight boxing tournament at the 2004 Olympics? Silver
"Which Disney film, released in 1994, is the highest-grossing hand-drawn film in history?",The Lion King,"Which Disney film, released in 1994, is the highest-grossing hand-drawn film in history? The Lion King"
In music what is a note if it is neither sharp nor flat?,Natural,In music what is a note if it is neither sharp nor flat? Natural
"""In which T.V. Detective series did """"Charlie Hungerford"""" appear ?""",BERGERAC,"""In which T.V. Detective series did """"Charlie Hungerford"""" appear ?"" BERGERAC"
The expression 'On cloud (what)' refers to being blissfully happy?,Nine,The expression 'On cloud (what)' refers to being blissfully happy? Nine
What country has the most Shia Muslims?,Iran,What country has the most Shia Muslims? Iran
"Situated on Mars, what is the name of the iargest volcano in the Solar System?",Olympus Mons,"Situated on Mars, what is the name of the iargest volcano in the Solar System? Olympus Mons"
Daniel Deronda was the last novel written by which English novelist?,GEORGE ELIOT,Daniel Deronda was the last novel written by which English novelist? GEORGE ELIOT
Which actor became playwright Arthur Miller's son-in-law in 1997?,Daniel Day-Lewis,Which actor became playwright Arthur Miller's son-in-law in 1997? Daniel Day-Lewis
"What was the name of the submarine in Jules Verne's 20,000 Leagues Under the Sea",Nautilus,"What was the name of the submarine in Jules Verne's 20,000 Leagues Under the Sea Nautilus"
What is the brightest star in Ursa Minor?,Polaris,What is the brightest star in Ursa Minor? Polaris
Which Russian writer was awarded the Nobel Prize for Literature in 1970?,Aleksandr Solzhenitsyn,Which Russian writer was awarded the Nobel Prize for Literature in 1970? Aleksandr Solzhenitsyn
"Which 1959 film, directed by Franois Truffaut with music by Jean Constatin, was the story of a 13 year old Parisian (played by Jean-Pierre Leaud) falling into delinquency?",The 400 Blows,"Which 1959 film, directed by Franois Truffaut with music by Jean Constatin, was the story of a 13 year old Parisian (played by Jean-Pierre Leaud) falling into delinquency? The 400 Blows"
On what website would you find users Smosh and PewDiePie?,YouTube,On what website would you find users Smosh and PewDiePie? YouTube
Which theory of behavioural science states that 'Positive reinforcement and indirect suggestion to achieve non-forced compliance can be more effective than direct legislation'?,Nudge,Which theory of behavioural science states that 'Positive reinforcement and indirect suggestion to achieve non-forced compliance can be more effective than direct legislation'? Nudge
The South Ossetia war was fought between Russia and which other country?,Georgia,The South Ossetia war was fought between Russia and which other country? Georgia
"What was the last Grand National winner ridden by an amateur, before 'Mr. Fisk'?",GRITTAR,"What was the last Grand National winner ridden by an amateur, before 'Mr. Fisk'? GRITTAR"
"It is believed that the first of what type of business was opened in 1936 in Fort Worth, Texas by Noah Brannen?",Washateria,"It is believed that the first of what type of business was opened in 1936 in Fort Worth, Texas by Noah Brannen? Washateria"
What was the name of the political statement made by four members of the Labour Party in January 1981 effectively launching the SDP?,The Limehouse Declaration,What was the name of the political statement made by four members of the Labour Party in January 1981 effectively launching the SDP? The Limehouse Declaration
Mary of Modena was the second wife of which of our monarchs?,James II,Mary of Modena was the second wife of which of our monarchs? James II
Which King of England was the father of both The Black Prince and John of Gaunt?,EDWARD III,Which King of England was the father of both The Black Prince and John of Gaunt? EDWARD III
"According to a once-popular myth, oysters could only be eaten in months containing what letter in their names?",R,"According to a once-popular myth, oysters could only be eaten in months containing what letter in their names? R"
Which branch of medicine is concerned with providing artificial limbs for the human body?,Prosthetics,Which branch of medicine is concerned with providing artificial limbs for the human body? Prosthetics
The Lake District mountain Great Gable is connected by the pass Windy Gap to which other peak?,Green Gable,The Lake District mountain Great Gable is connected by the pass Windy Gap to which other peak? Green Gable
What was the name of the street that the Steptoes lived in,Oil Drum Lane,What was the name of the street that the Steptoes lived in Oil Drum Lane
"""The single """"Sara"""" was from Fleetwood Mac's 12th studio album (that followed the album """"Rumours""""), released in 1979. What was the album?""",Tusk,"""The single """"Sara"""" was from Fleetwood Mac's 12th studio album (that followed the album """"Rumours""""), released in 1979. What was the album?"" Tusk"
What was the Monkees best selling single,I'm a Believer,What was the Monkees best selling single I'm a Believer
What name is given to the traditional type of folk song sung by Venetian gondoliers?,Barcarolle,What name is given to the traditional type of folk song sung by Venetian gondoliers? Barcarolle
The character 'Honey Rider' appeared in which Bond film?,Dr. No,The character 'Honey Rider' appeared in which Bond film? Dr. No
Who is known as The Father of Television?,JOHN LOGIE BAIRD,Who is known as The Father of Television? JOHN LOGIE BAIRD
"Who plays Robert Crawley, Earl of Grantham in `Downton Abbey'?",HUGH BONNEVILLE,"Who plays Robert Crawley, Earl of Grantham in `Downton Abbey'? HUGH BONNEVILLE"
"When Great Britain beat the USA in the Davis Cup in March 2015, who was the other British singles player besides Andy Murray?",James Ward,"When Great Britain beat the USA in the Davis Cup in March 2015, who was the other British singles player besides Andy Murray? James Ward"
Which strong man appears in the Bible in the Book of Judges?,Samson,Which strong man appears in the Bible in the Book of Judges? Samson
"Launched on 4 March 2001 as the largest ship operated by the U S Navy, this aircraft carrier is named after which past U S president?",Ronald Reagan,"Launched on 4 March 2001 as the largest ship operated by the U S Navy, this aircraft carrier is named after which past U S president? Ronald Reagan"
In what book would you find a character known as the Artful Dodger?,Oliver Twist,In what book would you find a character known as the Artful Dodger? Oliver Twist
What was the first film to win a Best Actor Oscar for Jack Nicholson?,One Flew Over The Cuckoo's Nest,What was the first film to win a Best Actor Oscar for Jack Nicholson? One Flew Over The Cuckoo's Nest
"Deciduous dentition, seen in children, is better known by what name ?",MILK TEETH,"Deciduous dentition, seen in children, is better known by what name ? MILK TEETH"
Manchild and Buffalo Stance were hits for which singer,Neneh Cherry,Manchild and Buffalo Stance were hits for which singer Neneh Cherry
L S Lowry is associated with what occupation?,Artist,L S Lowry is associated with what occupation? Artist
"In the Spanish language, what sort of meat is jamon ?",HAM,"In the Spanish language, what sort of meat is jamon ? HAM"
Who was West German Chancellor from 1969 to 1974? Willy Brandt.,Willy Brandt,Who was West German Chancellor from 1969 to 1974? Willy Brandt. Willy Brandt
How many times has the flag known as the stars and stripes been changed since it was first adopted by 13 American states?,26,How many times has the flag known as the stars and stripes been changed since it was first adopted by 13 American states? 26
For what product is the city of Carrara in Italy most famous?,Marble,For what product is the city of Carrara in Italy most famous? Marble
"Which land-locked country has the most official languages in the world at 34 including Spanish, Aymara and Quechua?",Bolivia,"Which land-locked country has the most official languages in the world at 34 including Spanish, Aymara and Quechua? Bolivia"
The 1993 file Cool Runnings is based on a Jamaican team trying to compete in what sport at the 1988 Winter Olympics?,Bobsled,The 1993 file Cool Runnings is based on a Jamaican team trying to compete in what sport at the 1988 Winter Olympics? Bobsled
Which group had a 1968 UK hit with Baby Come Back?,THE EQUALS,Which group had a 1968 UK hit with Baby Come Back? THE EQUALS
In which novel does the character Hannibal Lecter first appear?,Red Dragon,In which novel does the character Hannibal Lecter first appear? Red Dragon
"What is the wine-tasting term for the aroma, smell or bouquet of a wine?",Nose,"What is the wine-tasting term for the aroma, smell or bouquet of a wine? Nose"
What small Scottish border town is famously associated with marriages of English runaway couples?,Gretna Green,What small Scottish border town is famously associated with marriages of English runaway couples? Gretna Green
Which fish is known in the British fishing industry as 'Silver Darlings'?,Herring,Which fish is known in the British fishing industry as 'Silver Darlings'? Herring
"In the 2008 Olympics, Mark Hunter won a gold medal in which sport?",ROWING,"In the 2008 Olympics, Mark Hunter won a gold medal in which sport? ROWING"
What is the main ingredient of the dish Borscht?,Beetroot,What is the main ingredient of the dish Borscht? Beetroot
"In information technology, for what does the L stand in LAN?",Local,"In information technology, for what does the L stand in LAN? Local"
"The June 1974 edition of Emergency Medicine included an article entitled ""Pop Goes the Cafe Coronary"", which described what common procedure?",Heimlich Maneuver,"The June 1974 edition of Emergency Medicine included an article entitled ""Pop Goes the Cafe Coronary"", which described what common procedure? Heimlich Maneuver"
"In 1983, Colin Pirchfork became the first criminal to be convicted for murder by the use of what evidence?",DNA fingerprinting,"In 1983, Colin Pirchfork became the first criminal to be convicted for murder by the use of what evidence? DNA fingerprinting"
Which corporation acquired Nokia in 2013?,Microsoft,Which corporation acquired Nokia in 2013? Microsoft
"""What make of car did James Bond drive in the movie """"Goldfinger""""?""",Aston Martin,"""What make of car did James Bond drive in the movie """"Goldfinger""""?"" Aston Martin"
"""Which band, which at the time comprised Jim Kerr, Charlie Burchill, Michael MacNeil, Mel Gaynor and John Giblin, had hit records with """"Alive & Kicking"""", """"Sanctify Yourself"""", """"Ghostdancing"""" and """"All the Things She Said""""?""",Simple Minds,"""Which band, which at the time comprised Jim Kerr, Charlie Burchill, Michael MacNeil, Mel Gaynor and John Giblin, had hit records with """"Alive & Kicking"""", """"Sanctify Yourself"""", """"Ghostdancing"""" and """"All the Things She Said""""?"" Simple Minds"
Which of Beethoven’s symphonies was nicknamed ‘The Eroica’?,Third,Which of Beethoven’s symphonies was nicknamed ‘The Eroica’? Third
Which fish is traditionally used in the Cornwall dish 'Stargazy Pie'?,PILCHARDS,Which fish is traditionally used in the Cornwall dish 'Stargazy Pie'? PILCHARDS
What is the name of the body of water that separates the Isle of Wight and mainland England?,The Solent,What is the name of the body of water that separates the Isle of Wight and mainland England? The Solent
What is the address of the British Prime Minister?,10 Downing Street,What is the address of the British Prime Minister? 10 Downing Street
Which cocktail allegedly gets its name from the practice of 1950's American engineers stirring vodka into their cans of orange juice with this tool?,Screwdriver,Which cocktail allegedly gets its name from the practice of 1950's American engineers stirring vodka into their cans of orange juice with this tool? Screwdriver
"What country invaded the Falkland Islands on Friday, April 2, 1982, and probably regretted it after Iron Maggie kicked their asses and took the Islands back?",Argentina,"What country invaded the Falkland Islands on Friday, April 2, 1982, and probably regretted it after Iron Maggie kicked their asses and took the Islands back? Argentina"
"""Where are the """"Spanish Steps""""?""",Rome,"""Where are the """"Spanish Steps""""?"" Rome"
"The epicentre of an earthquake in September last year (2010) was at Darfield, 25 miles west of which city in New Zealand?",CHRISTCHURCH,"The epicentre of an earthquake in September last year (2010) was at Darfield, 25 miles west of which city in New Zealand? CHRISTCHURCH"
"In the comedy series 'Rising Damp', what was the Christian name of Miss Jones?",Ruth,"In the comedy series 'Rising Damp', what was the Christian name of Miss Jones? Ruth"
"Tasting of aniseed, what is the name of this Greek drink?",Ouzo,"Tasting of aniseed, what is the name of this Greek drink? Ouzo"
In which British city is the Clifton Suspension Bridge?,BRISTOL,In which British city is the Clifton Suspension Bridge? BRISTOL
What does a colour TV licence cost?,£145.50,What does a colour TV licence cost? £145.50
The 'Arab Spring' uprising in Egypt during 2011 was inspired by the 'Jasmine Revolt' that had taken place in which country?,Tunisia,The 'Arab Spring' uprising in Egypt during 2011 was inspired by the 'Jasmine Revolt' that had taken place in which country? Tunisia
What is the name of the character played by actor Neil Burgess in the television commercial for cleaning product Cillit Bang?,Barry Scott,What is the name of the character played by actor Neil Burgess in the television commercial for cleaning product Cillit Bang? Barry Scott
Which chemical element is named after the Greek word for hidden?,KRYPTON,Which chemical element is named after the Greek word for hidden? KRYPTON
For which county did Harold Larwood play cricket from 1924-38?,NOTTINGHAMSHIRE,For which county did Harold Larwood play cricket from 1924-38? NOTTINGHAMSHIRE
On 24 June 2010 Julia Gillard was elected to the leadership of her party and therefore became Prime Minister of Australia. Who was the previous Prime Minister?,Kevin Rudd,On 24 June 2010 Julia Gillard was elected to the leadership of her party and therefore became Prime Minister of Australia. Who was the previous Prime Minister? Kevin Rudd
"""Who entitled his autobiography """"Memoirs of a Professional Cad""""?""",George Sanders,"""Who entitled his autobiography """"Memoirs of a Professional Cad""""?"" George Sanders"
What was Mr. Magoo's first name?,Quincy,What was Mr. Magoo's first name? Quincy
What is kitchen tin foil made from?,Aluminium,What is kitchen tin foil made from? Aluminium
"Who's missing: Grant Imahara, Kari Byron, Tory Belleci, Adam Savage",Jamie Hyneman,"Who's missing: Grant Imahara, Kari Byron, Tory Belleci, Adam Savage Jamie Hyneman"
"Which is recognised as the most massive bacterium so far discovered, reaching up to .75mm in length and large enough to be visible to the naked eye?",Thiomargarita namibiensis,"Which is recognised as the most massive bacterium so far discovered, reaching up to .75mm in length and large enough to be visible to the naked eye? Thiomargarita namibiensis"
How many people traditionally sing barbershop?,Four,How many people traditionally sing barbershop? Four
"""Which landlocked country in West Africa had previous names """"French Upper Volta"""" and from 1958 to 1984 """"Republic of Upper Volta""""?""",BURKINO FASO,"""Which landlocked country in West Africa had previous names """"French Upper Volta"""" and from 1958 to 1984 """"Republic of Upper Volta""""?"" BURKINO FASO"
"What nationality was Abel Janszoon Tasman the voyager, explorer and map maker?",Dutch,"What nationality was Abel Janszoon Tasman the voyager, explorer and map maker? Dutch"
What is the name for the style of furniture made in England between 1603 and 1688?,Jacobean,What is the name for the style of furniture made in England between 1603 and 1688? Jacobean
"Which country are the reigning Olympic Rugby Union champions, the sport last being part of the official programme in 1924?",USA,"Which country are the reigning Olympic Rugby Union champions, the sport last being part of the official programme in 1924? USA"
"Three famous English composers died in 1934. Gustav Holst and Edward Elgar are two, name the third?",FREDERICK DELIUS,"Three famous English composers died in 1934. Gustav Holst and Edward Elgar are two, name the third? FREDERICK DELIUS"
"Capable of flattening mountains with a single blow, who wields a hammer known as Mjollnir?",Thor,"Capable of flattening mountains with a single blow, who wields a hammer known as Mjollnir? Thor"
"Deriving from a Turkish word for a maidservant, what French name is given to a female slave in a harem?",Odalisque,"Deriving from a Turkish word for a maidservant, what French name is given to a female slave in a harem? Odalisque"
"In 1967, who got to no. 2 in the charts with ‘Excerpt from a Teenage Opera’?",KEITH WEST,"In 1967, who got to no. 2 in the charts with ‘Excerpt from a Teenage Opera’? KEITH WEST"
What is Madame Bovary’s first name in the 1856 novel by Gustave Flaubert?,Emma,What is Madame Bovary’s first name in the 1856 novel by Gustave Flaubert? Emma
What is the collective noun for Coroners,Body,What is the collective noun for Coroners Body
"In architecture, what is the space around the altar at the liturgical east end of a traditional Christian church building?",Chancel,"In architecture, what is the space around the altar at the liturgical east end of a traditional Christian church building? Chancel"
The Celtics are a professional basketball team based where?,Boston,The Celtics are a professional basketball team based where? Boston
